Symbol,Quantity,Entry Price,Exit Price,Entry Value,Exit Value,P&L,P&L %,Entry Time,Exit Time,Reason
SPY260904C00772000,3.0,4.85,3.75,1455.0,1125.0,-330.0,-22.68,2026-08-28 18:30:03,2026-08-28 19:13:37,MANUAL CLOSE
SPY260904C00772000,3.0,0.8,0.39,240.0,117.0,-123.0,-51.25,,2026-09-02 13:44:25.158030,STOP LOSS
